,id_modelo_nuevo,version,puertas,consumo,precio,id_provincia,id_potencia,id_motor,id_modelo,id_anio
0,1,NISSAN QASHQAI 1.3 DIG-T MHEV 103KW (140CV) ACENTA,5,6.3,31200,1,1,1,1,14
1,2,NISSAN QASHQAI (O)1.3 DIG-T MHEV 103KW (140CV) ACENTA,5,6.3,32700,1,1,1,1,14
2,3,NISSAN QASHQAI 1.3 DIG-T MHEV 116KW (158CV) ACENTA CVT,5,6.3,34300,1,2,1,1,14
3,4,NISSAN QASHQAI 1.3 DIG-T MHEV 103KW (140CV) N-CONNECTA,5,6.4,34850,1,1,1,1,14
4,5,NISSAN QASHQAI (O)1.3 DIG-T MHEV 103KW (140CV) N-STYLE,5,6.4,35000,1,1,1,1,14
5,6,NISSAN QASHQAI (O)1.3 DIG-T MHEV 116KW (158CV) ACENTA DCT,5,6.3,35800,1,2,1,1,14
6,7,NISSAN QASHQAI (O)1.3 DIG-T MHEV 103KW (140CV) N-CONNECTA,5,6.4,35900,1,1,1,1,14
7,8,NISSAN QASHQAI 1.3 DIG-T MHEV 116KW (158CV) N-CONNECTA CVT,5,6.4,37950,1,2,1,1,14
8,9,NISSAN QASHQAI (O)1.3 DIG-T MHEV 116KW (158CV) N-STYLE DCT,5,6.4,38100,1,2,1,1,14
9,10,NISSAN QASHQAI 1.3 DIG-T MHEV 103KW (140CV) N-DESIGN,5,6.4,38200,1,1,1,1,14
10,11,NISSAN QASHQAI 1.5 HEV E-POWER 140KW (190CV) ACENTA AUTO,5,5.1,36700,1,3,2,2,14
11,12,NISSAN QASHQAI (O)1.5 HEV E-POWER 140KW (190CV) ACENTA AUTO,5,5.2,38300,1,3,2,2,14
12,13,NISSAN QASHQAI 1.5 HEV E-POWER 140KW (190CV) N-CONNECTA AUTO,5,5.2,40350,1,3,2,2,14
13,14,NISSAN QASHQAI (O)1.5 HEV E-POWER 140KW (190CV) N-CONNECTA AUTO,5,5.3,41200,1,3,2,2,14
14,15,NISSAN QASHQAI (O)1.5 HEV E-POWER 140KW (190CV) BLACK EDITION A,5,5.2,42400,1,3,2,2,14
15,16,NISSAN QASHQAI 1.5 HEV E-POWER 140KW (190CV) TEKNA AUTO,5,5.2,43900,1,3,2,2,14
16,17,NISSAN QASHQAI 1.5 HEV E-POWER 140KW (190CV) N-DESIGN AUTO,5,5.2,43900,1,3,2,2,14
17,18,NISSAN QASHQAI (O)1.5 HEV E-POWER 140KW (190CV) TEKNA AUTO,5,5.3,44000,1,3,2,2,14
