,id_seguridad,evaluacion_general,evaluacion_choque_frontal,evaluacion_choque_lateral,evaluacion_barrera_lateral,evaluacion_vuelco,probabilidad_vuelco,evaluacion_choque_columna,quejas,retiradas,investigaciones,marca,version,descripcion,vehiculo_id,id_anio,id_equipamiento_aviso_choque_front,id_equipamiento_aviso_desvio_carril,id_equipamiento_estabilidad_electronica
0,1,4,4,5,4,4,0.105,5,236,1,0,NISSAN,ALTIMA,2011 Nissan Altima 4 DR FWD,357,1,3,3,1
1,2,4,4,5,4,4,0.105,5,240,1,1,NISSAN,ALTIMA HEV,2011 Nissan Altima HEV 4 DR FWD,359,1,3,3,1
2,3,5,4,5,5,4,0.11,4,93,0,3,NISSAN,LEAF,2011 Nissan Leaf 5 HB FWD,367,1,3,3,1
3,4,4,4,5,5,4,0.185,4,145,0,0,NISSAN,MURANO,2011 Nissan Murano SUV AWD,654,1,3,3,1
4,5,4,4,5,5,4,0.179,4,145,0,0,NISSAN,MURANO,2011 Nissan Murano SUV FWD,369,1,3,3,1
5,6,4,4,5,5,4,0.179,5,354,2,0,NISSAN,ROGUE,2011 Nissan Rogue SUV AWD,657,1,3,3,1
6,7,4,4,5,5,4,0.198,5,354,2,0,NISSAN,ROGUE,2011 Nissan Rogue SUV FWD,373,1,3,3,1
7,8,4,3,3,3,4,0.116,5,139,2,0,NISSAN,SENTRA,2011 Nissan Sentra 4 DR FWD,374,1,3,3,1
8,9,2,3,2,2,4,0.14,2,263,7,2,NISSAN,VERSA,2011 Nissan Versa 5 HB FWD,378,1,3,3,2
9,10,2,3,2,2,4,0.14,2,263,7,2,NISSAN,VERSA,2011 Nissan Versa 4 DR FWD,377,1,3,3,2
10,11,4,4,5,4,4,0.105,5,416,4,1,NISSAN,ALTIMA,2012 Nissan Altima 4 DR FWD,6160,2,3,3,1
11,12,4,3,5,4,4,0.151,5,84,4,0,NISSAN,JUKE,2012 Nissan Juke SUV AWD,6555,2,3,3,1
12,13,4,3,5,4,4,0.159,5,84,4,0,NISSAN,JUKE,2012 Nissan Juke SUV FWD,6176,2,3,3,1
13,14,5,4,5,5,4,0.11,4,55,0,3,NISSAN,LEAF,2012 Nissan Leaf 5 HB FWD,6171,2,3,3,1
14,15,4,3,5,5,5,0.101,5,105,0,0,NISSAN,MAXIMA,2012 Nissan Maxima 4 DR FWD,6161,2,3,3,1
15,16,4,4,5,5,4,0.185,4,128,1,0,NISSAN,MURANO,2012 Nissan Murano SUV AWD,6557,2,3,3,1
16,17,4,4,5,5,4,0.179,4,128,1,0,NISSAN,MURANO,2012 Nissan Murano SUV FWD,6178,2,3,3,1
17,18,4,4,5,5,4,0.179,5,307,2,0,NISSAN,ROGUE,2012 Nissan Rogue SUV AWD,6556,2,3,3,1
18,19,4,4,5,5,4,0.198,5,307,2,0,NISSAN,ROGUE,2012 Nissan Rogue SUV FWD,6177,2,3,3,1
19,20,4,3,3,3,4,0.116,5,177,0,0,NISSAN,SENTRA,2012 Nissan Sentra 4 DR FWD,6159,2,3,3,1
20,21,4,3,4,3,4,0.147,5,479,11,7,NISSAN,VERSA,2012 Nissan Versa 4 DR FWD,6158,2,3,3,1
21,22,5,5,5,5,4,0.103,5,2263,12,5,NISSAN,ALTIMA,2013 Nissan Altima 4 DR FWD,7745,3,3,3,1
22,23,4,3,5,4,4,0.159,5,93,2,0,NISSAN,JUKE,2013 Nissan Juke SUV FWD,7288,3,3,3,1
23,24,4,3,5,4,4,0.151,5,93,2,0,NISSAN,JUKE,2013 Nissan Juke SUV AWD,7287,3,3,3,1
24,25,4,4,4,4,4,0.109,5,79,5,3,NISSAN,LEAF,2013 Nissan Leaf 5 HB FWD,7286,3,3,3,1
25,26,4,3,5,5,5,0.101,5,61,0,0,NISSAN,MAXIMA,2013 Nissan Maxima 4 DR FWD,7285,3,3,3,1
26,27,4,4,5,5,4,0.179,4,67,1,0,NISSAN,MURANO,2013 Nissan Murano SUV FWD,7292,3,3,3,1
27,28,4,4,5,5,4,0.185,4,67,1,0,NISSAN,MURANO,2013 Nissan Murano SUV AWD,7291,3,3,3,1
28,29,4,4,5,5,4,0.169,5,846,11,4,NISSAN,PATHFINDER,2013 Nissan Pathfinder SUV AWD,7698,3,3,3,1
29,30,4,4,5,5,4,0.191,5,846,11,4,NISSAN,PATHFINDER,2013 Nissan Pathfinder SUV FWD,7566,3,3,3,1
30,31,4,4,5,5,4,0.179,5,585,1,1,NISSAN,ROGUE,2013 Nissan Rogue SUV AWD,7290,3,3,3,1
